id,State,source,Agricultural_2018,Non_Agricultural_2018,Agricultural_2017,Non_Agricultural_2017,Agricultural_2016,Non_Agricultural_2016,Agricultural_2015,Non_Agricultural_2015,Agricultural_2014,Non_Agricultural_2014,Agricultural_2013,Non_Agricultural_2013,Agricultural_2012,Non_Agricultural_2012,Agricultural_2011,Non_Agricultural_2011,Agricultural_2010,Non_Agricultural_2010,source_ab,target_ab
1037,Rajasthan,Rajasthan,104481700,13331814958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RJ,RJ
1038,Sikkim,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RJ,SK
1039,Tamil Nadu,Rajasthan,5017991890,0,4827868702,561496320,8326068895,403047680,4668058882,0,5594251600,463634194,5367281502,0,5633126370,21420693,2562080900,0,1454649457,85843830,RJ,TN
1040,Telangana,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RJ,TE
1041,Tripura,Rajasthan,0,0,0,98801628,0,0,0,151969246,0,383806242,0,144332351,0,3835600,0,0,0,43453124,RJ,TR
1042,Uttar Pradesh,Rajasthan,122588976,62921488706,43290000,34169793004,0,33215512958,0,23258352619,444708986,31083061938,0,32731767412,0,14739096602,352084250,14744611837,0,14919958209,RJ,UP
1043,Uttarakhand,Rajasthan,0,4655340596,0,3213235779,40160875,2434872579,0,2090775636,0,1908409936,0,1349576272,0,602737375,0,183979556,0,390850657,RJ,UR
1044,West Bengal,Rajasthan,46116300,2017318856,382809375,1612068642,399034550,2940577953,1800361,1506258300,0,631563512,35884350,1440153745,65412734,174121368,48168240,18177900,4678461,446637184,RJ,WB
1045,Andaman & Nicobar Islands,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,AN
1046,Andhra Pradesh,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,AP
1047,Arunachal Pradesh,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,AR
1048,Assam,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,AS
1049,Bihar,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,BR
1050,Chandigarh,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,CN
1051,Chattisgarh,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,CH
1052,Dadra & Nagar Haveli,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,DN
1053,Daman & Diu,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,DD
1054,Delhi,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,DL
1055,Goa,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,GA
1056,Gujarat,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,GJ
1057,Haryana,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,HR
1058,Himachal Pradesh,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,HP
1059,Jammu & Kashmir,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,JK
1060,Jharkhand,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,JH
1061,Karnataka,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,KA
1062,Kerala,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,KL
1063,Lakshadeep,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,LD
1064,Madhya Pradesh,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,MP
1065,Maharashtra,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,MH
1066,Manipur,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,MN
1067,Meghalaya,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,ML
1068,Mizoram,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,MZ
1069,Nagaland,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,NL
1070,Odisha,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,OD
1071,Puducherry,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,PD
1072,Punjab,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,PN
1073,Rajasthan,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,RJ
1074,Sikkim,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,SK
1075,Tamil Nadu,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SK,TN
